variant,date,issue_datetime,issue_hour,first_target_end,last_target_end,soc_measured_kwh,planned_terminal_kwh,milp_gap,price_mode,radius_scale,nominal_horizon_proxy_cost_yuan,box_worst_horizon_proxy_cost_yuan,q2_pv_history_only,load_history_through_date
4-3,2025-05-19,2025-05-19 06:00:00,6,2025-05-19 06:10:00,2025-05-20 06:00:00,10115.994444444445,6000.0,0.0,forecast,1.0,36940.03150111168,40760.12688260204,False,2025-05-18
4-3,2025-05-19,2025-05-19 12:00:00,12,2025-05-19 12:10:00,2025-05-20 12:00:00,10083.316958571759,6000.0,0.0,forecast,1.0,44644.91754590554,49840.88052329226,False,2025-05-18
4-3,2025-05-19,2025-05-19 18:00:00,18,2025-05-19 18:10:00,2025-05-20 18:00:00,10796.565116521992,6000.0,0.0,forecast,1.0,36885.74833219987,41102.554746920956,False,2025-05-18
4-3,2025-05-20,2025-05-20 00:00:00,0,2025-05-20 00:10:00,2025-05-21 00:00:00,7173.040983697194,6000.0,0.0,forecast,1.0,37452.80822544762,41317.30099121937,False,2025-05-19
4-3,2025-05-20,2025-05-20 06:00:00,6,2025-05-20 06:10:00,2025-05-21 06:00:00,10128.53287037037,6000.0,0.0,forecast,1.0,38637.2647647282,42737.269078869474,False,2025-05-19
4-3,2025-05-20,2025-05-20 12:00:00,12,2025-05-20 12:10:00,2025-05-21 12:00:00,8882.720363080778,6000.0,9.92705859350902e-16,forecast,1.0,38892.34471204634,42978.684314274644,False,2025-05-19
4-3,2025-05-20,2025-05-20 18:00:00,18,2025-05-20 18:10:00,2025-05-21 18:00:00,10800.0,6000.0,2.465915977847983e-16,forecast,1.0,43364.48027761317,48737.10411040786,False,2025-05-19
4-3,2025-05-21,2025-05-21 00:00:00,0,2025-05-21 00:10:00,2025-05-22 00:00:00,6974.279954356821,6000.0,0.0,forecast,1.0,35773.96120687491,39254.31665032994,False,2025-05-20
4-3,2025-05-21,2025-05-21 06:00:00,6,2025-05-21 06:10:00,2025-05-22 06:00:00,9215.872269565734,6000.0,0.0,forecast,1.0,39660.4460616046,43916.66246273126,False,2025-05-20
4-3,2025-05-21,2025-05-21 12:00:00,12,2025-05-21 12:10:00,2025-05-22 12:00:00,8308.640612645788,6000.0,7.36478431060371e-16,forecast,1.0,42561.6255664256,47208.40465317802,False,2025-05-20
